x,y,z,vector_magnitude
0.0218285,0.0137064,-0.0310709,0.0403702
-0.0204663,0.00521174,-0.0150673,0.0259433
-0.00713953,0.0327254,-0.0602614,0.0689446
-0.0286833,0.0263395,0.0309099,0.0497184
-0.0154377,0.0347812,0.0938206,0.101244
-0.0143435,0.0496126,-0.130105,0.13998
0.000479015,0.0186226,0.130434,0.131758
0.03872,0.0337083,-0.183819,0.190853
-0.0313531,0.10883,-0.504454,0.517011
-0.0125139,0.0584931,0.126311,0.139759
0.0263561,-0.085078,0.738334,0.743687
0.0989856,0.0673097,0.00997889,0.120118
-0.0782218,0.0721309,-0.339554,0.355835
0.00173036,0.0152355,-0.118577,0.119564
0.0909252,0.00100968,0.244671,0.261022
-0.0234557,0.0149903,0.0210359,0.0348911
-0.0312069,0.0600028,-0.249738,0.258734
0.0026953,0.0223621,0.132321,0.134225
0.0623263,0.0631949,0.044459,0.0992712
0.0106472,0.0315219,-0.0553672,0.064595
-0.0148452,0.0588488,0.0443459,0.0751673
0.0318233,0.0329196,-0.125705,0.133784
-0.00720805,0.024224,0.0607648,0.0658112
0.0473778,0.0401773,0.0265968,0.0675741
-0.0281548,0.0355198,0.0225912,0.0506429
-0.0174003,0.0440866,-0.118291,0.127433
-0.00893599,0.0165388,0.131616,0.132952
-0.0177667,0.102556,-0.0188879,0.105783
-0.0170234,0.055553,-0.00967282,0.0589024
0.0649257,0.0610106,-0.0714217,0.114187
0.0847945,0.0500262,0.0545185,0.112539
0.0365547,0.0562025,0.00273108,0.0671001
-0.00305449,0.0588677,0.0183291,0.0617308
-0.0260843,0.0484307,-0.0103702,0.0559774
-0.0431404,0.073516,-0.00803232,0.0856167
-0.00164631,0.0818059,-0.0131641,0.0828747
0.0204711,0.0757904,0.0164587,0.0802131
0.0208126,0.0507396,-0.0434659,0.0699782
0.0014473,0.0335636,0.0839877,0.0904574
0.0105949,0.0701749,-0.0995825,0.122284
-0.0277523,0.0343215,0.065405,0.0789048
0.00726469,0.0552833,-0.0279804,0.0623852
-0.0281022,0.051172,0.00617975,0.0587069
0.00331272,0.0465339,0.000503719,0.0466544
-0.0193757,0.0604431,0.0147481,0.0651636
-0.0291657,0.0660602,-0.0134922,0.0734618
-0.0058477,0.0484474,0.0113845,0.0501094
0.00414281,0.0589841,-0.0251888,0.0642711
0.0158531,0.039659,0.024526,0.0492512
0.00684261,0.0528711,-0.0525465,0.0748553
-0.0110068,0.0279936,0.112962,0.116898
-0.00699755,0.0464843,-0.111786,0.121268
0.0170308,0.0262846,0.0560482,0.0642053
0.0237119,0.059754,-0.0870904,0.108248
0.00480849,0.0356821,0.0689428,0.0777781
0.0202298,0.034855,-0.0371124,0.0547854
-0.0371042,0.0535041,0.0563352,0.0860992
0.00583543,0.0300439,-0.0541508,0.0622012
0.00393963,0.0404041,0.0338396,0.0528501
0.0190503,0.0400327,-0.0171326,0.0475295
-0.0115591,0.0402401,-0.00282311,0.0419625
0.000630821,0.0489293,-0.0478835,0.0684638
-0.0179407,0.0591282,0.0294164,0.0684349
-0.0257358,0.0779718,0.00129813,0.0821195
-0.0318572,0.0830208,-0.00895011,0.0893724
0.0231401,0.0702542,-0.155699,0.172375
0.0126392,0.0226045,0.077148,0.0813789
-0.0161194,0.0260162,0.0302135,0.0430062
-0.0083808,0.0116461,0.0640602,0.0656474
-0.0279706,0.0681903,-0.0324817,0.080544
-0.0218316,0.0435072,-0.042033,0.0643138
-0.00717111,0.0297403,0.0606322,0.067913
-0.0144507,0.0433591,-0.0449886,0.0641312
-0.00292393,0.0509919,0.0216656,0.0554809
0.0136516,0.0248854,0.0126292,0.0310668
0.0203962,0.0290927,0.0113502,0.037299
-0.00846322,0.0158723,-0.0086987,0.0199806
-0.012412,0.0214572,-0.00457495,0.0252071
-0.00813793,0.0243261,-0.00534898,0.026203
-0.0151313,0.0432972,-0.0738792,0.0869582
0.00947491,0.0281938,0.0645872,0.0711068
-0.0280033,0.0651062,-0.0262928,0.0755931
-0.0155433,0.0198037,0.0683946,0.0728807
-0.019746,0.0794383,-0.125647,0.149958
-0.0245451,0.025296,0.097296,0.103484
-0.0110203,0.0623389,0.00401479,0.0634327
-0.0458878,0.0869085,-0.179555,0.204692
0.0038306,0.0961371,-0.0741692,0.121483
-0.0272784,0.0788064,0.208075,0.224164
-0.0424173,0.0800889,0.0949509,0.13126
-0.10017,0.0607163,-0.0677116,0.135298
-0.0389168,0.0603452,-0.106063,0.128084
0.0686148,0.0412688,0.162608,0.181253
0.090703,0.0597365,-0.0418066,0.116376
-0.0354256,0.0733362,-0.0316267,0.0873694
-0.0385244,0.0749151,-0.00506026,0.084392
-0.0365069,0.0703211,0.031183,0.085148
-0.0160803,0.0719407,-0.0369921,0.0824771
-0.0101678,0.0814995,0.0144012,0.0833843
-0.0305401,0.0861825,0.0277696,0.0955577
-0.0435554,0.100019,-0.0659479,0.127475
-0.0336137,0.0866827,0.0417981,0.101936
-0.0189283,0.0880748,-0.0114534,0.090811
-0.0271164,0.07643,0.017816,0.0830317
-0.0284796,0.0944481,-0.011693,0.0993391
-0.0449687,0.0800575,0.020735,0.0941347
-0.0505577,0.0858746,-0.013047,0.100503
-0.0389199,0.0701711,0.0054006,0.0804233
-0.0351642,0.0738558,0.000902891,0.0818048
-0.05669,0.0734542,-0.0299356,0.0974957
-0.0428421,0.0752276,0.0283735,0.0911027
-0.0242269,0.0603527,-0.0358221,0.074247
-0.00825246,0.0493031,0.027597,0.0571007
-0.0115205,0.0560441,-0.0481188,0.0747601
-0.00638117,0.0432884,0.0581788,0.0727968
-0.0145926,0.0495925,-0.0380309,0.0641772
-0.0247864,0.0477567,0.00943947,0.0546276
-0.0290442,0.0605956,0.00808191,0.067681
-0.049493,0.0627652,-0.0289079,0.0849982
-0.0430508,0.0681884,0.0441398,0.0919312
-0.0568386,0.0767617,-0.0165583,0.096939
-0.0756269,0.0813232,-0.0097205,0.111478
-0.0725092,0.0801313,0.0218826,0.110261
-0.0685582,0.0720306,-0.00304902,0.0994884
-0.0671092,0.0664438,0.00691682,0.0946904
-0.0553104,0.0562631,-0.0138044,0.0800958
-0.0422199,0.0511001,0.00473559,0.0664542
-0.0393766,0.0454154,-0.0160615,0.0622177
-0.0342841,0.0404662,0.0131022,0.0546314
-0.0487524,0.0397582,-0.013368,0.0643134
-0.0545825,0.0451587,0.0050714,0.071023
-0.0198032,0.0435646,-0.0341549,0.0587928
0.00526208,0.0225373,0.0275559,0.0359854
0.00486147,0.0312475,-0.0147533,0.0348956
-0.017122,0.0255322,0.00110364,0.0307615
-0.0249573,0.0250537,-0.0102035,0.0368058
-0.0324666,0.0401376,0.00968212,0.0525248
-0.0389264,0.0417574,-0.0278262,0.0635079
-0.0384856,0.0570505,0.0170364,0.0708953
-0.0377995,0.0492093,-0.00388443,0.0621727
-0.0391189,0.0494088,-0.00783598,0.0635053
-0.0339466,0.0420738,0.0194024,0.0574372
-0.0372447,0.0404146,-0.0182275,0.0579029
-0.0336215,0.0431662,0.0133593,0.0563222
-0.0370977,0.0387135,-0.0102782,0.0545951
-0.0348635,0.0431879,-0.0107816,0.0565411
-0.0263358,0.0307539,0.0125351,0.0423852
-0.0197117,0.0287776,-0.0117705,0.0368136
-0.0132856,0.0196642,0.00409979,0.0240831
-0.014719,0.0144736,-0.00455189,0.0211389
-0.0174036,0.0151463,-0.00450552,0.0235074
-0.0127349,0.0107481,-0.00238436,0.0168341
-0.00419898,0.00863072,-0.00442916,0.0105706
-0.00508605,0.00643488,-0.0134178,0.0157262
-0.0118502,0.00854805,0.00850987,0.016909
-0.0161897,0.0101583,-0.0157671,0.0247769
-0.00904799,0.0108101,0.000544906,0.0141075
-0.00736448,0.0121913,-0.00351435,0.0146701
-0.00703399,0.0154652,-0.000920057,0.0170146
-0.00655573,0.0158298,0.00393242,0.017579
-0.00716286,0.0164498,-0.0194908,0.0264914
-0.00486944,0.0169713,0.00705993,0.0190152
-0.00441502,0.0156702,-0.0103668,0.0193007
0.00140942,0.0131026,0.00138277,0.0132506
-0.00355341,0.0135487,0.00432748,0.0146601
