x,y,z,vector_magnitude
102.28,-41.0742,-103.517,151.208
102.563,-40.6454,-104.557,151.998
102.15,-41.4509,-103.523,151.228
102.613,-40.4904,-104.366,151.859
102.621,-41.2803,-103.479,151.469
103.02,-40.4786,-103.905,151.815
102.585,-41.1658,-103.686,151.556
103.028,-40.6203,-103.538,151.608
102.914,-41.3795,-103.154,151.474
103.604,-40.531,-103.364,151.858
103.001,-41.3152,-103.241,151.575
103.414,-40.6784,-103.305,151.727
103.2,-41.2129,-103.391,151.784
103.707,-40.4036,-103.197,151.781
103.064,-40.9971,-103.479,151.694
103.575,-40.477,-103.4,151.848
103.234,-41.1603,-103.461,151.841
103.677,-40.4558,-103.336,151.868
103.314,-40.9731,-103.19,151.66
103.873,-40.397,-102.991,151.752
103.303,-41.0165,-103.58,151.93
103.825,-40.1878,-103.306,151.877
103.391,-40.9198,-103.43,151.861
103.776,-40.2874,-103.032,151.684
103.525,-40.9487,-103.546,152.04
103.991,-40.0262,-103.091,151.802
103.537,-40.7313,-103.133,151.709
103.972,-39.7907,-103.36,151.911
103.7,-40.4697,-103.25,151.829
104.167,-39.6881,-103.166,151.885
103.447,-40.5863,-103.236,151.678
104.034,-39.738,-103.285,151.888
103.567,-40.5254,-103.176,151.702
104.004,-39.7165,-103.401,151.941
103.759,-40.4799,-103.328,151.925
104.074,-39.6667,-103.138,151.797
103.658,-40.4132,-103.407,151.892
104.125,-39.431,-103.073,151.726
103.457,-40.3432,-103.346,151.695
104.061,-39.72,-103.016,151.719
103.679,-40.0896,-102.794,151.404
104.267,-39.3313,-103.125,151.833
103.676,-40.2771,-103.049,151.625
104.184,-39.5296,-103.104,151.813
103.352,-40.0937,-103.333,151.548
103.871,-39.3248,-103.096,151.54
103.41,-40.2893,-103.149,151.514
104.294,-39.3054,-102.975,151.744
103.297,-40.1621,-103.591,151.705
103.979,-39.3492,-103.259,151.732
103.258,-39.9886,-103.202,151.367
103.761,-39.2286,-103.651,151.818
103.557,-39.8904,-103.415,151.691
104.029,-39.1161,-102.986,151.519
103.206,-39.9297,-103.18,151.3
103.63,-39.2722,-103.24,151.46
103.132,-39.8036,-103.278,151.284
103.774,-38.9863,-103.634,151.753
103.26,-40.0145,-103.472,151.56
103.623,-39.1844,-103.403,151.543
103.102,-39.7615,-103.243,151.229
103.591,-39.0298,-103.897,151.819
103.053,-39.8746,-103.585,151.459
103.449,-39.1454,-103.537,151.505
102.9,-39.6376,-103.332,151.119
103.24,-38.7223,-103.741,151.394
102.668,-39.5714,-103.161,150.827
103.286,-38.9675,-103.954,151.634
102.634,-39.6249,-103.74,151.215
103.136,-38.9448,-104.043,151.587
102.464,-39.6213,-103.741,151.099
103.009,-38.8923,-103.823,151.336
102.633,-39.5864,-103.588,151.099
103.33,-38.952,-104.176,151.812
102.553,-39.7266,-103.774,151.209
102.809,-39.2246,-104.369,151.661
102.443,-39.7058,-104.027,151.304
102.84,-39.2765,-104.437,151.742
102.252,-39.9759,-104.249,151.399
102.663,-39.4771,-104.346,151.612
102.446,-39.8649,-104.422,151.619
102.514,-39.5086,-104.672,151.744
102.471,-39.8889,-104.4,151.627
102.558,-39.4512,-105.014,151.995
102.219,-39.8206,-105.103,151.924
102.164,-39.4149,-105.514,152.066
102.032,-39.6199,-104.802,151.538
102.288,-39.2163,-105.284,151.939
102.224,-39.6145,-105.309,152.017
102.377,-39.5603,-105.504,152.24
102.315,-39.6166,-105.678,152.334
102.258,-39.7506,-105.401,152.138
101.987,-39.8859,-105.703,152.202
102.168,-39.8849,-106.061,152.572
101.922,-39.9149,-105.902,152.304
102.1,-40.0635,-105.849,152.425
101.855,-40.0513,-105.897,152.292
101.957,-40.1446,-105.717,152.26
102.266,-40.2002,-105.934,152.632
102.04,-40.2855,-105.944,152.51
101.796,-40.0747,-106.354,152.576
101.866,-40.3448,-105.894,152.374
101.779,-40.1712,-106.273,152.535
101.711,-40.4837,-105.891,152.305
101.943,-40.1984,-106.479,152.794
101.542,-40.5543,-106.012,152.296
101.745,-40.2853,-106.338,152.587
101.407,-40.6288,-106.015,152.227
101.674,-40.5613,-106.57,152.774
101.478,-41.0294,-106.044,152.403
101.814,-40.671,-106.456,152.817
101.404,-41.0907,-106.063,152.383
101.747,-40.6655,-106.756,152.981
101.195,-40.9895,-105.993,152.168
101.715,-40.6043,-106.665,152.88
101.271,-41.1439,-106.013,152.274
101.469,-40.4845,-106.342,152.458
101.109,-41.1262,-106.361,152.404
101.508,-40.6387,-106.607,152.71
101.217,-41.2705,-106.013,152.273
101.641,-40.8197,-105.888,152.346
101.252,-41.4206,-106.197,152.464
101.634,-40.9771,-105.952,152.428
101.009,-41.4753,-105.997,152.179
101.508,-40.9853,-106.228,152.539
101.038,-41.8414,-106.313,152.518
101.375,-41.3512,-105.794,152.247
101.057,-41.8182,-106.334,152.539
101.495,-41.4787,-106.124,152.591
100.863,-41.922,-105.803,152.07
101.342,-41.3826,-106.244,152.547
101.044,-42.3297,-105.804,152.302
101.485,-41.5872,-106.466,152.852
100.894,-42.4388,-105.755,152.2
101.458,-41.481,-106.138,152.576
100.859,-42.5937,-105.868,152.298
101.547,-41.6087,-106.799,153.131
100.847,-42.5119,-105.674,152.133
101.479,-41.7988,-106.543,152.96
100.985,-42.6992,-106.167,152.62
101.604,-41.6507,-106.624,153.058
100.669,-42.5083,-105.869,152.15
101.566,-41.5613,-106.256,152.753
100.897,-42.6894,-105.738,152.26
101.226,-41.8945,-106.476,152.77
100.665,-42.7105,-105.568,151.995
101.377,-41.7401,-106.266,152.683
100.655,-42.6508,-105.667,152.04
101.467,-41.8154,-106.064,152.623
100.675,-42.8364,-105.863,152.241
101.359,-41.7861,-106.245,152.669
100.588,-42.5206,-105.842,152.081
101.319,-41.8168,-106.763,153.012
100.692,-42.8271,-105.866,152.252
101.46,-42.1242,-106.928,153.304
100.678,-42.7926,-105.9,152.256
101.599,-41.8095,-106.425,152.959
100.734,-42.8096,-105.683,152.147
101.362,-41.9258,-106.675,153.008
100.66,-42.8409,-105.651,152.085
101.041,-41.9898,-106.479,152.677
100.664,-42.8809,-105.568,152.041
101.252,-41.9838,-106.886,153.099
100.698,-43.0377,-105.473,152.043
101.153,-42.1216,-106.832,153.033
100.797,-43.0431,-105.43,152.079
101.285,-42.3335,-106.719,153.1
100.885,-43.1845,-105.343,152.118
