x,y,z,vector_magnitude
0.0302582,0.0733643,-1.09772,1.10058
-0.0106201,0.0367126,-0.959122,0.959883
0.00830078,0.094574,-1.10738,1.11144
-0.0166931,0.0604858,-0.880249,0.882483
0.00466919,0.0927277,-1.00389,1.00818
-0.00236511,0.0865784,-1.04422,1.04781
0.0329285,0.0702057,-0.943893,0.947073
0.0301056,0.0702209,-1.18332,1.18578
-0.00923157,0.187149,-1.55234,1.56361
0.01091,0.0444489,-0.583466,0.585258
0.0568695,-0.0321655,-0.353424,0.359412
0.103104,0.153931,-1.15051,1.16533
-0.0940247,0.0841827,-1.3399,1.34584
0.0731659,0.0597076,-1.00313,1.00756
0.0756531,0.0362854,-0.738815,0.743564
-0.0130157,0.0838928,-1.11203,1.11527
-0.0154114,0.0896759,-1.1676,1.17114
0.040741,0.0743256,-0.843613,0.84786
0.0689697,0.0984955,-0.996796,1.00402
0.0129852,0.0856323,-1.03717,1.04078
0.0109253,0.0971069,-0.968536,0.973454
0.0454102,0.0733032,-1.13858,1.14184
0.00715637,0.0709229,-0.888306,0.891161
0.0603485,0.079422,-0.977402,0.982478
-0.0167389,0.097168,-1.04268,1.04733
-0.0100403,0.0670624,-1.03931,1.04152
0.0275574,0.0904694,-0.911453,0.916347
-0.0270996,0.129974,-0.97876,0.987724
0.0352936,0.113159,-1.09836,1.10474
0.0769196,0.0918732,-0.98204,0.989323
0.10199,0.100571,-0.974014,0.98449
0.0348358,0.101196,-1.00267,1.00837
0.00726318,0.0964813,-0.969147,0.973964
-0.0188293,0.102036,-1.0257,1.03093
-0.0240936,0.119781,-0.999634,1.00707
0.0257721,0.121582,-1.0117,1.01931
0.0321808,0.123291,-0.982773,0.990999
0.0326996,0.0760498,-1.0244,1.02774
0.0175781,0.0957489,-0.933731,0.938792
0.0150452,0.105606,-1.09625,1.10143
-0.00575256,0.0817261,-0.918518,0.922165
0.0134125,0.0985565,-1.04776,1.05247
-0.00949097,0.0970612,-0.986435,0.991244
0.0161285,0.0864563,-0.987167,0.991077
-0.0126801,0.11377,-1.00653,1.01302
-0.0148468,0.0997925,-0.986267,0.991414
0.0146332,0.0954132,-1.02098,1.02553
0.016449,0.0953064,-0.984283,0.989024
0.0318298,0.0871124,-1.01819,1.0224
0.0126801,0.0916595,-1.0015,1.00576
0.00445557,0.0747986,-0.927505,0.930527
0.00389099,0.0890198,-1.09807,1.10168
0.041275,0.0678253,-0.943466,0.946801
0.0241089,0.108856,-1.08714,1.09285
0.0314484,0.068222,-0.908524,0.911624
0.0133362,0.0933685,-1.06683,1.07099
-0.0187531,0.0821381,-0.912766,0.916646
0.0229797,0.0822601,-1.08699,1.09034
0.0177002,0.0784302,-0.929016,0.932489
0.0287628,0.0844269,-1.04962,1.0534
-0.00253296,0.0848083,-0.988098,0.991734
0.0138245,0.0936279,-1.04002,1.04432
-0.00900269,0.110794,-0.979858,0.986143
-0.0173798,0.11618,-0.970871,0.977952
-0.00956726,0.133469,-1.07314,1.08145
0.0422821,0.0953522,-1.10248,1.1074
0.0137024,0.0630341,-0.906555,0.908847
0.0018158,0.0658875,-0.986526,0.988726
-0.00114441,0.0601349,-0.919678,0.921642
-0.013092,0.118607,-1.08893,1.09545
-0.00611877,0.068573,-0.973114,0.975546
0.00665283,0.0796356,-0.987579,0.990807
-0.00254822,0.0868835,-1.01974,1.02344
0.0177307,0.0892029,-0.983673,0.987869
0.0286407,0.0639343,-0.976547,0.979057
0.0304108,0.0714264,-1.00047,1.00348
-0.00289917,0.0576324,-1.00629,1.00794
0.00544739,0.0621338,-1.00092,1.00286
0.00169373,0.0713043,-1.02377,1.02625
0.00309753,0.0769348,-1.0457,1.04853
0.0184631,0.0796509,-0.938309,0.941864
-0.0197296,0.0977936,-1.01466,1.01956
0.00898743,0.0671082,-0.958908,0.961295
-0.0172424,0.119354,-1.12177,1.12823
-0.00175476,0.0588989,-0.844467,0.84652
-0.00756836,0.119965,-1.09329,1.09988
-0.022522,0.13002,-1.15393,1.16145
0.0150604,0.141205,-1.0164,1.02628
-0.0120239,0.114075,-0.768646,0.777158
-0.0519409,0.126221,-0.959686,0.969344
-0.0774689,0.0980835,-1.10558,1.11262
-0.00221252,0.105698,-1.02489,1.03033
0.109772,0.0802307,-0.869293,0.879862
0.0713501,0.110321,-1.06067,1.06878
-0.0307922,0.11647,-1.01904,1.02614
-0.0223846,0.116959,-0.991943,0.999066
-0.0193481,0.113098,-0.98175,0.988433
0.00248718,0.117386,-1.03441,1.04105
-0.00236511,0.124817,-0.965179,0.97322
-0.022171,0.133499,-0.995941,1.00509
-0.0310059,0.142609,-1.05956,1.06956
-0.0148163,0.126343,-0.941895,0.950446
-0.00868225,0.130051,-1.02628,1.03452
-0.011795,0.120316,-0.97258,0.980065
-0.0212708,0.136505,-1.01828,1.02761
-0.033844,0.121552,-0.96991,0.978082
-0.0372314,0.127823,-1.0284,1.03698
-0.0206451,0.109558,-0.972885,0.979252
-0.0295868,0.119614,-1.02634,1.03371
-0.042923,0.114365,-1.00215,1.00957
-0.0257111,0.117844,-0.990524,0.997841
-0.00570679,0.0971375,-1.02342,1.02804
0.00463867,0.0956268,-0.982697,0.987349
0.000778198,0.0944061,-1.03395,1.03825
0.00741577,0.0874176,-0.944016,0.948083
-0.00775146,0.0912628,-1.04834,1.05233
-0.010025,0.0933533,-0.972702,0.977223
-0.0233612,0.104065,-1.00903,1.01465
-0.0380859,0.105453,-1.01057,1.01678
-0.0297546,0.11441,-0.962143,0.969378
-0.0516663,0.119659,-1.02289,1.03116
-0.0641174,0.12558,-0.996048,1.00598
-0.0585632,0.121277,-0.983154,0.992336
-0.0558929,0.112549,-0.998322,1.0062
-0.0537262,0.107269,-1.00047,1.00764
