x,y,z,vector_magnitude
0.0197758,-0.0128601,-0.165173,0.166849
-0.00464296,0.0304927,-0.153218,0.156292
0.00455454,0.0119925,-0.151466,0.152008
-0.00379367,0.0436354,-0.135411,0.142319
0.0189183,-0.0545767,-0.116037,0.129619
0.00196754,0.0941971,-0.11274,0.146926
0.01391,-0.0551988,-0.0868188,0.103817
0.0350222,0.0563797,-0.124442,0.141036
0.043205,0.135027,-0.068284,0.157358
-0.0633449,0.456056,-0.0670699,0.465294
-0.0585613,-0.031719,-0.0414737,0.0784576
0.0738305,-0.504862,-0.0480653,0.512491
-0.0300911,0.313807,-0.0607041,0.321038
0.0167111,0.118936,-0.0534049,0.131442
-0.0631798,-0.112498,-0.0797806,0.151699
0.0714537,-0.0641734,-0.0493556,0.107981
-0.0268977,0.124891,-0.0372499,0.133075
-0.00397237,0.0124671,-0.0211048,0.0248318
0.0196416,-0.0507026,-0.0197734,0.0578579
-0.01409,0.0258944,-0.0123605,0.0319661
0.0333564,-0.00404854,0.00269325,0.0337089
-0.00431592,0.0539865,-0.0027569,0.0542289
-0.0154844,0.0116766,0.00976022,0.0217111
-0.025439,0.0142223,-0.00954211,0.0306671
0.031849,-0.0532113,0.0328394,0.0701729
-0.0837191,0.145874,0.0278481,0.170481
0.041764,-0.0844038,0.0472871,0.105377
-0.0491138,0.0281664,0.0600186,0.082509
0.0753661,0.0154471,0.094579,0.121917
-0.0299052,0.0738319,0.0697533,0.105882
0.0087373,-0.0475121,0.0538835,0.0723683
0.0034472,-0.0033942,0.0558353,0.0560445
0.000206129,-0.011316,0.0602708,0.0613243
-0.00567413,-0.0338538,0.0776029,0.0848557
0.0111871,0.0173433,0.0886172,0.0909888
0.0257666,0.00898337,0.10266,0.106225
0.0365277,-0.0692832,0.0919851,0.120813
-0.0204438,0.0460216,0.0946839,0.107243
0.0254713,-0.0630695,0.0975295,0.118906
-0.0277485,0.0427203,0.0903959,0.103761
0.0276963,-0.0163569,0.104019,0.108879
-0.0188376,0.00981641,0.0960205,0.0983421
0.0474178,0.0128934,0.107114,0.117847
-0.0183545,-0.00138431,0.10123,0.10289
0.0143156,-0.0210091,0.118719,0.121411
0.00732662,0.0147987,0.123474,0.124573
0.0119736,-0.0116433,0.121359,0.122502
0.0124497,0.031168,0.127345,0.131693
-0.000784834,-0.00199684,0.123543,0.123562
-0.00360139,0.0309867,0.125589,0.129405
0.0116255,-0.0783987,0.136937,0.158219
0.00543871,0.0611837,0.13665,0.14982
-0.0113616,-0.0389128,0.135281,0.141224
0.0193561,0.0269083,0.136441,0.14041
-0.0179484,0.0178805,0.141787,0.144032
0.011063,-0.0330389,0.143157,0.147336
0.0139206,0.0152296,0.155282,0.156647
0.0161204,0.0235064,0.150841,0.15351
0.0178895,-0.00715219,0.148036,0.149284
0.0128673,-0.00643287,0.146642,0.147346
-0.0240569,-0.00997886,0.153618,0.15581
-0.00099549,0.011882,0.147555,0.148036
-0.00865288,-0.0176312,0.1573,0.158522
0.00306423,0.00852078,0.161114,0.161368
0.0121794,0.02361,0.170999,0.173051
0.0532731,0.0780383,0.158764,0.184754
0.0283637,-7.93622e-05,0.15367,0.156266
0.00680624,0.0475044,0.16049,0.167511
0.000436758,-0.0239184,0.158791,0.160583
0.00193772,0.0432013,0.165722,0.171272
0.00808669,0.0361234,0.168629,0.172645
0.0100279,0.00201415,0.161717,0.16204
-0.00918391,0.0246875,0.170567,0.172589
0.0104524,-0.000370712,0.171692,0.17201
-0.00596015,0.0196616,0.166448,0.167711
0.00540515,-0.0140506,0.160082,0.160788
0.000571514,0.014339,0.15815,0.1588
0.00665391,0.00815353,0.16056,0.160905
-0.00296703,-0.0224789,0.157252,0.158878
