x,y,z,vector_magnitude
-0.00959989,0.0358361,-0.163975,0.168119
0.00686862,-0.0351144,-0.148019,0.152282
0.00739379,0.0396677,-0.14236,0.147968
0.0249695,-0.0257443,-0.121341,0.12653
0.0146564,0.0126949,-0.120579,0.122128
0.0263869,0.0459274,-0.106386,0.118843
0.0148868,-0.00215517,-0.115447,0.116422
0.166477,-0.204381,-0.0790671,0.275205
0.00552341,0.382576,-0.0792807,0.390743
-0.111086,0.348571,-0.0452846,0.368636
0.244951,-0.717872,-0.0365966,0.759395
-0.106272,-0.0129074,-0.0754505,0.13097
0.0301779,0.273212,-0.0318527,0.276713
-0.0442335,-0.0361646,-0.0716416,0.0916351
-0.00260588,-0.135757,-0.0646489,0.150387
0.0194416,0.0137648,-0.0427192,0.0489119
-0.0478562,0.0964405,-0.0299155,0.11174
0.0172752,-0.0568903,-0.022494,0.0635682
-0.00435554,-0.0121928,-0.0136318,0.0188006
0.00599694,-0.0103628,-0.00065683,0.011991
0.0265723,0.00771336,0.00327053,0.0278618
-0.0300844,0.0574418,-0.00384869,0.0649572
0.001889,-0.0232227,0.0143623,0.0273704
-0.00728399,-0.0524339,0.00464364,0.0531407
-0.0267373,0.0732659,0.0249249,0.0818782
-0.06094,0.0515125,0.0490978,0.09369
0.0108076,-0.112716,0.0487905,0.123297
0.0132056,0.0289556,0.082277,0.0882175
0.00215745,0.0777357,0.0719376,0.105936
0.0101475,-0.0354311,0.0714067,0.080357
-0.0101953,-0.0362844,0.0545417,0.0662971
-0.0119363,-0.0034154,0.0619777,0.063209
0.00762542,-0.0559151,0.0675198,0.0879975
-0.0233929,-0.00104239,0.0843793,0.0875681
0.034419,0.00195073,0.0987127,0.104559
-0.00221625,-0.0299492,0.0977383,0.102248
0.0346864,-0.0620179,0.0959777,0.11942
-0.0200275,0.00379631,0.0963341,0.0984671
0.0108031,-0.0741675,0.0965949,0.122262
-0.0113515,0.0344438,0.0964842,0.103075
0.0157009,-0.0640593,0.100906,0.120549
-0.00122183,0.0378341,0.101699,0.108515
0.0104495,-0.0304963,0.108765,0.113442
-0.00169242,-0.0415432,0.111277,0.118791
0.0153246,0.00504161,0.119097,0.120185
0.0031367,-0.0180303,0.129459,0.130746
0.00360568,0.0161916,0.128732,0.129797
0.000760103,-0.0218646,0.132694,0.134485
-0.000673476,-0.00741508,0.129943,0.130156
0.00864199,-0.0206724,0.13062,0.132528
0.00398758,-0.0271439,0.128196,0.131099
0.003736,0.0277853,0.14111,0.143868
0.00918323,-0.0599429,0.132719,0.145918
-0.000906253,0.0545199,0.146753,0.156556
0.00361793,-0.0810982,0.135842,0.15825
0.0110061,0.0182445,0.145883,0.147431
-0.0125706,-0.0257115,0.159751,0.162295
0.0148011,0.0231002,0.152081,0.154536
0.0052334,-0.0596655,0.148392,0.160024
0.0109081,0.000306708,0.148991,0.14939
-0.007293,-0.00837387,0.149455,0.149867
-0.0114342,-0.0302848,0.154327,0.157685
-0.00481015,0.00641567,0.156809,0.157014
0.0233651,-0.036007,0.170417,0.175739
0.0314739,0.0994257,0.172023,0.201167
0.0175918,-0.0355624,0.158028,0.162933
0.0378614,0.0142603,0.164787,0.169681
-0.0109482,-0.00515371,0.157329,0.157794
-0.000504359,-0.0443373,0.162214,0.168165
0.025339,0.0560722,0.163388,0.174591
-0.00896255,-0.0254765,0.167823,0.169982
0.0179701,0.0116368,0.164481,0.165868
0.0152808,-0.0112174,0.173356,0.174389
-0.00481865,0.015586,0.168092,0.168882
-0.00777023,-0.0128798,0.164143,0.164831
-0.00485012,-0.0248667,0.161095,0.163075
0.0134277,0.0124663,0.161405,0.162442
0.0100506,-0.00976704,0.159144,0.159759
0.0145316,0.00760209,0.153144,0.15402
-0.0172772,0.0285735,0.156538,0.16006
0.0189312,-0.0357344,0.157951,0.163046
-0.0168724,0.0110625,0.163832,0.165069
0.00696927,-0.0413964,0.15205,0.157739
0.000660011,0.0490757,0.147282,0.155244
-0.0147181,-0.0883632,0.155502,0.179459
-0.0760777,0.00899607,0.161301,0.178569
-0.109692,0.0380109,0.157873,0.195962
-0.0722355,-0.01005,0.153746,0.170167
0.0175202,-0.0643414,0.161086,0.174343
0.00693491,-0.0300997,0.192846,0.195304
0.0135451,0.0600675,0.202773,0.211916
0.00472316,0.0475014,0.192076,0.197919
-0.000577326,-0.0737744,0.157633,0.174044
0.0040622,-0.0200498,0.153469,0.154827
0.00290452,-0.0127975,0.166841,0.167356
0.00227787,-0.0161454,0.169504,0.170286
0.00513304,-0.00342535,0.168154,0.168267
-0.00292515,-0.0166663,0.166994,0.167849
-0.00708714,-0.022566,0.170645,0.172277
0.00253936,-0.0163962,0.171111,0.171913
0.00308371,0.0045528,0.176959,0.177045
0.00564385,-0.0252742,0.176177,0.17807
-0.00246388,0.00635855,0.17447,0.174603
0.00455726,-0.042388,0.172577,0.177765
-0.00338295,-0.00570137,0.171767,0.171895
0.00278411,-0.026145,0.177409,0.179346
-0.00729329,0.00299982,0.178291,0.178465
0.00438814,-0.0412946,0.180612,0.185325
-0.00588127,0.00900959,0.183985,0.1843
0.00992249,-0.0274243,0.192573,0.194769
-0.00022948,0.0024074,0.190077,0.190093
-0.000929363,-0.0135784,0.178772,0.179289
0.00268721,0.00130467,0.170477,0.170503
0.000856814,-0.0041105,0.162372,0.162426
0.000488233,-0.0235268,0.155699,0.157468
-0.0117208,0.0102525,0.14632,0.147146
0.00289172,-0.0365196,0.138144,0.142919
-0.0103336,0.00492539,0.132654,0.133147
-0.00133501,-0.0222301,0.124853,0.126823
0.000586526,-0.0149242,0.12133,0.122246
-0.000109358,-0.0112589,0.123339,0.123852
0.00162994,-0.0128861,0.123685,0.124365
0.00232449,-0.00447075,0.127753,0.127853
-0.00119251,-0.0110004,0.127798,0.128277
0.00259637,0.000673534,0.12586,0.125888
0.00126106,-0.0118247,0.124327,0.124894
-0.00182394,-0.0020088,0.118093,0.118124
0.00522307,-0.0109035,0.113196,0.11384
0.00222994,-0.0149409,0.105977,0.107048
0.0105899,-0.0102883,0.104471,0.105509
0.0138512,-0.00273262,0.100589,0.101575
0.00595012,-0.0131396,0.0816102,0.082875
0.00500789,-0.0189698,0.0682579,0.0710216
0.00428481,-0.00776389,0.0607545,0.0613982
0.00179769,-0.0104755,0.0500781,0.0511936
0.00207894,-0.00972178,0.0502752,0.0512487
0.00128026,-0.00733746,0.0487631,0.0493286
-0.00382232,-0.0010947,0.0498239,0.0499823
0.00418021,-0.0126238,0.0496042,0.0513557
-0.007473,0.0119151,0.0506595,0.0525757
0.0045304,-0.0207528,0.0478211,0.0523265
-0.00589911,0.00443693,0.0486218,0.049179
-0.000970393,-0.012737,0.0456135,0.0473684
-0.000723784,-0.00316107,0.0499662,0.0500713
-0.00365246,0.00529393,0.0438066,0.0442762
0.00164754,-0.00501141,0.0421814,0.04251
0.00592272,0.00171414,0.0351493,0.035686
-0.00214665,-0.00588911,0.0277087,0.0284088
0.0028007,-0.00520761,0.02474,0.0254368
0.0016707,-0.00173207,0.024309,0.0244278
0.00083527,-0.00305033,0.0204841,0.0207268
0.00334128,-0.00366016,0.0196486,0.020264
-0.0024716,-0.00273232,0.0164813,0.0168881
-0.00112166,-0.00877111,0.0131468,0.0158439
0.000264519,0.00263787,0.0142967,0.0145405
0.00119665,-0.00576967,0.0156385,0.0167117
0.000494371,-0.000838827,0.0133356,0.0133711
-0.000880063,0.00101293,0.0153016,0.0153603
-6.00753e-05,-0.00564471,0.0137175,0.0148336
-0.00071711,0.00312867,0.0157812,0.0161044
-0.00105373,-0.0044102,0.0167759,0.0173779
0.00117001,0.000292939,0.0176654,0.0177066
-0.00281675,-0.000552348,0.0156931,0.0159534
0.00226909,-0.00721478,0.0163687,0.0180316
-0.00163004,-0.00368662,0.0198002,0.0202064
-0.00833879,0.00176023,0.0191003,0.0209154
0.0149886,-0.0179307,0.023903,0.0334293
-0.00632034,0.0146859,0.0182044,0.0242286
-0.00779653,-0.0111244,0.0214189,0.0253635
0.0112983,-0.0137824,0.0267982,0.0321831
-0.00554888,0.0230539,0.0239124,0.0336761
-0.000377277,-0.0260721,0.0204586,0.0331429
0.00454744,0.0096036,0.0218413,0.0242889
-0.0030423,0.00321122,0.0226821,0.0231094
-0.00331394,-0.0170078,0.0180261,0.0250037
0.00231494,0.0138514,0.0194757,0.0240109
-0.00396879,-0.00822541,0.0173859,0.0196387
0.000831794,-0.00324286,0.0176691,0.0179835
-0.00234642,0.0052449,0.0151916,0.0162419
-0.00144118,-0.00233938,0.0152978,0.0155426
-0.00236716,0.00323808,0.0173684,0.0178256
-0.00335333,-0.00180888,0.0166435,0.017074
-0.000992971,-0.00310611,0.0167807,0.0170946
-0.000488863,3.83239e-05,0.0199215,0.0199275
-0.00106064,-0.00240379,0.0168673,0.0170708
-0.00178709,0.00254056,0.0185853,0.0188431
0.00240712,-0.00325128,0.0199491,0.0203552
-0.00254217,0.00228036,0.0216563,0.0219239
0.00306911,-0.00325582,0.0238009,0.0242179
-0.00148387,0.00262574,0.0222213,0.022425
0.00327866,-0.000836903,0.0226013,0.0228532
0.00334508,0.00142043,0.0222333,0.0225284
-0.00155034,0.00248596,0.0163858,0.0166457
0.00134262,-0.00400705,0.0162624,0.0168025
0.000276825,0.000649485,0.0122229,0.0122433
0.000305853,-0.00100967,0.00700605,0.00708504
-0.00321272,0.00190437,0.00482572,0.00610211
0.000140185,-0.00267216,0.00275548,0.00384093
-0.00158901,0.00323233,0.00178715,0.0040208
0.00102437,-0.00263037,0.00068413,0.00290452
0.000797468,-0.00396328,0.00209028,0.00455113
-0.00264387,0.00260354,0.00122821,0.00390858
-0.000435576,-0.00378006,-0.00229888,0.0044456
0.00195245,-0.00192264,1.1716e-05,0.00274021
0.000169728,-0.00446942,0.000910799,0.00456444
-0.00299438,-0.00576415,0.00601251,0.0088511
-0.000878497,0.00170654,0.00952921,0.00972059
0.00199556,-0.00180231,0.00854201,0.00895525
-0.000742172,0.00389126,0.0172327,0.0176822
0.00021288,-0.00267411,0.0171432,0.0173519
0.0031096,-0.0056896,0.0204818,0.0214836
0.00167817,-0.000629708,0.0194548,0.0195372
0.000946866,-0.00502206,0.0166811,0.0174464
0.00360181,0.000368312,0.0189751,0.0193174
-0.000147124,-0.000705208,0.0110738,0.0110972
0.00104965,-0.00194379,0.00844026,0.00872457
-0.000445444,0.00223205,0.00321114,0.00393597
0.000719666,-0.00156701,-0.000893868,0.00194228
-0.00171473,-0.000921196,-0.00577864,0.00609767
-0.000910721,-0.00150177,-0.0090506,0.00921944
-0.00126998,-0.00279127,-0.012416,0.0127891
0.000496525,-0.00631529,-0.011819,0.0134096
-0.00228355,-0.00112186,-0.00548572,0.00604701
0.000216342,0.000627415,0.00106468,0.00125459
-0.0107785,0.0109866,0.00505969,0.0162013
-0.000896574,-0.00638027,0.00857364,0.0107247
-0.00193334,0.0153245,0.0111007,0.0190211
-0.00566208,-0.00132794,0.0075476,0.00952832
-0.000585824,-0.00597382,0.00563439,0.00823262
-0.000425998,0.0054605,0.00504164,0.00744424
-0.00240819,-0.00700549,0.00605045,0.00956473
-0.000758938,9.73064e-05,0.00360164,0.00368202
0.00254684,0.00150931,0.00485519,0.00568659
0.0626605,0.101712,0.0124855,0.120115
-0.000489168,0.100642,0.0138881,0.101597
0.0158187,0.0612866,0.0110459,0.0642518
0.0137366,0.0774622,0.0124521,0.0796501
0.0143836,0.0631355,0.00745818,0.0651813
0.0085206,0.0259798,0.00625709,0.0280482
0.00451628,0.0225375,0.00167934,0.0230468
0.000915954,0.00317313,-0.00160274,0.00367104
-0.00616407,-0.021765,-0.00715736,0.0237263
-0.0134947,-0.0561586,-0.0108906,0.058775
-0.0197147,-0.103793,-0.0166384,0.106951
-0.0250387,-0.130008,-0.0182592,0.13365
-0.0211142,-0.0550063,-0.0103254,0.0598174
-0.00137969,0.0125618,-0.00451464,0.0134196
-0.00114327,-0.00707312,-0.00749844,0.0103712
-0.00366954,-0.0047583,-0.00512184,0.00789558
-0.00314912,0.000514624,-0.00374096,0.00491697
-0.00529963,0.00143022,-0.00549039,0.00776376
-0.000254205,-0.00430675,-0.00527447,0.00681416
-0.00146115,0.00086404,-0.00339854,0.0037989
-0.000513079,-0.00255118,-0.00172374,0.00312139
-0.00104065,-0.00161348,-0.00166782,0.0025432
-0.00118367,-0.00250465,-0.00305661,0.00412519
-0.00133041,-0.00121728,-0.00307791,0.00356725
0.000945816,-0.00133733,-0.00126775,0.00207128
0.00101026,0.000205174,-0.00180544,0.00207903
0.00207849,-0.00128011,-0.00174753,0.00300211
0.000616681,-0.000690752,0.000476744,0.0010415
-0.00253285,0.00193904,-0.000156705,0.00319371
-0.00115467,-0.00336997,-6.64239e-05,0.00356292
-9.76449e-05,-0.000782728,0.00350307,0.00359078
0.0045011,-0.00178461,0.0065753,0.00816574
0.00426915,0.00643708,0.00561955,0.00955202
0.00810091,0.00721207,0.00447652,0.0117336
-0.00911114,0.0127179,-0.00892496,0.0180115
0.00715944,-0.0310988,-0.0254035,0.0407889
-0.0070813,0.0233319,-0.0271093,0.0364614
0.00372794,-0.0149859,-0.0307472,0.0344073
-0.000463513,0.00311413,-0.0322909,0.032444
-0.00479408,0.00253276,-0.0334589,0.0338954
0.00229149,-0.00595797,-0.0330435,0.0336545
0.00789797,-0.00167987,-0.0302477,0.031307
-0.0025957,-0.00441536,-0.020983,0.0215991
-0.00827595,0.0110478,-0.0107698,0.0175081
0.00243055,0.000349404,-0.00158636,0.00292339
-0.00485479,0.0158194,0.0030518,0.0168267
0.000433368,-0.00689421,0.00675318,0.00966041
